"","ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1","ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF500_s1_r1","ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1","ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF500_s1_r1","ARMS_BelgiumCoast_AJJCD78_20200506_20201012_MF100_s1_r1","ARMS_TZS_Angbat_20200608_20201117_MF100_ETOH_s1_r1","ARMS_TZS_Angbat_20200608_20201117_MF500_ETOH_s1_r1","ARMS_TZS_Angbat_20200608_20201117_SF40_ETOH_s1_r1","ARMS_TZS_Kummelkobben_20200608_20201120_MF100_ETOH_s1_r1","ARMS_TZS_Kummelkobben_20200608_20201120_MF500_ETOH_s1_r1","ARMS_TZS_Kummelkobben_20200608_20201120_SF40_ETOH_s1_r1","ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1","ARMS_Crete_1HERP_20200903_20210122_MF90_s1_r1","ARMS_Crete_1HERP_20200903_20210122_SF_s1_r1","ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1","ARMS_Getxo_G1_20200624_20201103_MF500_s1_r1","ARMS_Getxo_G1_20200624_20201103_SF40_s1_r1","ARMS_Getxo_G2_20200624_20201103_MF100_s1_r1","ARMS_Getxo_G2_20200624_20201103_SF40_s1_r1","ARMS_Getxo_G3_20200624_20201103_MF100_s1_r1","ARMS_Getxo_G3_20200624_20201103_SF40_s1_r1","Classification","TAXON.NCBI_TAX_ID"
"Otu486",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,"Main genome;Eukaryota;Opisthokonta;Metazoa;Bryozoa;Bryozoa (class);X (Bryozoa (class));Bryozoa (X (Bryozoa (class)));XX (Bryozoa (X (Bryozoa (class))));Bryozoa (XX (Bryozoa (X (Bryozoa (class)))));XXX (Bryozoa (XX (Bryozoa (X (Bryozoa (class))))));Bryozoa (XXX (Bryozoa (XX (Bryozoa (X (Bryozoa (class)))))));XXX (Bryozoa (XXX (Bryozoa (XX (Bryozoa (X (Bryozoa (class))))))));sp. (XXX (Bryozoa (XXX (Bryozoa (XX (Bryozoa (X (Bryozoa (class)))))))))","Bryozoa:10205"
"Otu487",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,"Main genome;Eukaryota;Stramenopiles;Opalozoa;MAST-12;MAST-12A;MAST-12A (order);X (MAST-12A (order));MAST-12A (X (MAST-12A (order)));XX (MAST-12A (X (MAST-12A (order))));MAST-12A (XX (MAST-12A (X (MAST-12A (order)))));XX (MAST-12A (XX (MAST-12A (X (MAST-12A (order))))));sp. (XX (MAST-12A (XX (MAST-12A (X (MAST-12A (order)))))))","Opalozoa:2683629"
"Otu488",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,"Main genome;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae","Dinophyceae:2864"
"Otu510",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,"Main genome;Eukaryota;Stramenopiles;Sagenista;MAST-6;MAST-6 (class);X (MAST-6 (class));MAST-6 (X (MAST-6 (class)));XX (MAST-6 (X (MAST-6 (class))));MAST-6 (XX (MAST-6 (X (MAST-6 (class)))));XXX (MAST-6 (XX (MAST-6 (X (MAST-6 (class))))));MAST-6 (XXX (MAST-6 (XX (MAST-6 (X (MAST-6 (class)))))));XXX (MAST-6 (XXX (MAST-6 (XX (MAST-6 (X (MAST-6 (class))))))));sp. (XXX (MAST-6 (XXX (MAST-6 (XX (MAST-6 (X (MAST-6 (class)))))))))","Sagenista:421189"
"Otu318",0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,"Main genome;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta (class);X (Bacillariophyta (class));Araphid-pennate","Bacillariophyta:2836"
"Otu319",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,"Main genome;Eukaryota","Eukaryota:2759"
"Otu310",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,"Main genome;Eukaryota;Alveolata;Ciliophora;Oligohymenophorea;Peritrichia;Vaginicolidae;Vaginicolidae (family);X (Vaginicolidae (family));Vaginicolidae (X (Vaginicolidae (family)));X (Vaginicolidae (X (Vaginicolidae (family))));sp. (X (Vaginicolidae (X (Vaginicolidae (family)))))","Vaginicolidae:168252"
"Otu311",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,"Main genome;Eukaryota;Opisthokonta;Metazoa;Rotifera;Rotifera (class);X (Rotifera (class));Rotifera (X (Rotifera (class)));XX (Rotifera (X (Rotifera (class))))","Rotifera:10190"
"Otu313",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,"Main genome;Eukaryota;Amoebozoa;Lobosa;Discosea-Flabellinia;Vannellida;Vannellidae;Unknown Vannellidae family 1","Vannellidae:95227"
"Otu314",0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,"Main genome;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta (class);X (Bacillariophyta (class));Radial-centric-basal-Coscinodiscophyceae;Radial-centric-basal-Coscinodiscophyceae (genus);X (Radial-centric-basal-Coscinodiscophyceae (genus));Radial-centric-basal-Coscinodiscophyceae (X (Radial-centric-basal-Coscinodiscophyceae (genus)));X (Radial-centric-basal-Coscinodiscophyceae (X (Radial-centric-basal-Coscinodiscophyceae (genus))));sp. (X (Radial-centric-basal-Coscinodiscophyceae (X (Radial-centric-basal-Coscinodiscophyceae (genus)))))","Bacillariophyta:2836"
